systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_water;_boundaries;B514;;;USA-MS,AL/Gulf of Mexico;b.514;
b_water;_boundaries;B515;;;USA-FL/Gulf of Mexico;b.515;
b_water;_boundaries;B516;;;USA-FL/Gulf of Mexico;b.516;
b_water;_boundaries;B517;;;USA-FL/Gulf of Mexico;b.517;
b_water;_boundaries;B519;;;USA-FL/Gulf of Mexico;b.519;
b_water;_boundaries;B520;;;USA-FL/Gulf of Mexico;b.520;
b_water;_boundaries;B522;;;USA-FL/Gulf of Mexico;b.522;
b_water;_boundaries;B523;;;USA-FL/Gulf of Mexico;b.523;
b_water;_boundaries;B524;;;USA-FL/Gulf of Mexico;b.524;
b_water;_boundaries;B525;;;USA-FL/Gulf of Mexico;b.525;
b_water;_boundaries;B526;;;USA-FL/ATL;b.526;
b_water;_boundaries;B530;;;USA-FL,GA/ATL;b.530;
b_water;_boundaries;B531;;;USA-GA,SC/ATL;b.531;
b_water;_boundaries;B532;;;USA-SC,NC/ATL;b.532;
b_water;_boundaries;B533;;;USA-NC/ATL;b.533;
b_water;_boundaries;B534;;;USA-NC/ATL;b.534;
b_water;_boundaries;B535;;;USA-NC,VA/ATL;b.535;
b_water;_boundaries;B536;;;USA-VA/ATL;b.536;
b_water;_boundaries;B537;;;USA-VA/ATL;b.537;
b_water;_boundaries;B538;;;USA-VA,MD/ATL;b.538;
b_water;_boundaries;B539;;;USA-MD/ATL;b.539;
b_water;_boundaries;B540;;;USA-MD/ATL;b.540;
b_water;_boundaries;B541;;;USA-MD/ATL;b.541;
b_water;_boundaries;B542;;;USA-MD,VA/ATL;b.542;
b_water;_boundaries;B544;;;USA-VA Isl./ATL;b.544;
b_water;_boundaries;B545;;;USA-VA Isl./ATL;b.545;
b_water;_boundaries;B546;;;USA-MD,VA/ATL;b.546;
b_water;_boundaries;B547;;;USA-MD,DE,NJ/ATL;b.547;
b_water;_boundaries;B548;;;USA-NJ/ATL;b.548;
b_water;_boundaries;B549;;;USA-NJ/ATL;b.549;
b_water;_boundaries;B550;;;USA-NJ/ATL;b.550;
b_water;_boundaries;B551;;;USA-NJ,NY/ATL;b.551;
b_water;_boundaries;B553;;;USA-NY/ATL;b.553;
b_water;_boundaries;B554;;;USA-NY/ATL;b.554;
b_water;_boundaries;B555;;;USA-NY-Shelter/ATL;b.555;
b_water;_boundaries;B556;;;USA-NY,CT/ATL;b.556;
